UniprotID,manifest_order_index,base_completed,assigned_shard,assigned_gpu,assignment_reason
Q9FCD1,4432,false,2,2,remaining_order_4362_mod_4
Q9FCD2,4433,false,3,3,remaining_order_4363_mod_4
Q9FT69,4434,false,0,0,remaining_order_4364_mod_4
Q9GL30,4435,false,1,1,remaining_order_4365_mod_4
Q9H0T7,4436,false,2,2,remaining_order_4366_mod_4
Q9H0W9,4437,false,3,3,remaining_order_4367_mod_4
Q9H5I1,4438,false,0,0,remaining_order_4368_mod_4
Q9H611,4439,false,1,1,remaining_order_4369_mod_4
Q9H9V9,4440,false,2,2,remaining_order_4370_mod_4
Q9H9Y4,4441,false,3,3,remaining_order_4371_mod_4
Q9HAC7,4442,false,0,0,remaining_order_4372_mod_4
Q9HDU9,4443,false,1,1,remaining_order_4373_mod_4
Q9HKS9,4444,false,2,2,remaining_order_4374_mod_4
Q9HKT2,4445,false,3,3,remaining_order_4375_mod_4
Q9HP73,4446,false,0,0,remaining_order_4376_mod_4
Q9HUU6,4447,false,1,1,remaining_order_4377_mod_4
Q9HUU8,4448,false,2,2,remaining_order_4378_mod_4
Q9HVT9,4449,false,3,3,remaining_order_4379_mod_4
Q9HWH9,4450,false,0,0,remaining_order_4380_mod_4
Q9I0F2,4451,false,1,1,remaining_order_4381_mod_4
Q9I0J2,4452,false,2,2,remaining_order_4382_mod_4
Q9I0K1,4453,false,3,3,remaining_order_4383_mod_4
Q9I7X6,4454,false,0,0,remaining_order_4384_mod_4
Q9IAX2,4455,false,1,1,remaining_order_4385_mod_4
Q9ICP7,4456,false,2,2,remaining_order_4386_mod_4
Q9IG45,4457,false,3,3,remaining_order_4387_mod_4
Q9IKD2,4458,false,0,0,remaining_order_4388_mod_4
Q9INI4,4459,false,1,1,remaining_order_4389_mod_4
Q9IR51,4460,false,2,2,remaining_order_4390_mod_4
Q9IV54,4461,false,3,3,remaining_order_4391_mod_4
Q9IZK2,4462,false,0,0,remaining_order_4392_mod_4
Q9IZT2,4463,false,1,1,remaining_order_4393_mod_4
Q9IZU7,4464,false,2,2,remaining_order_4394_mod_4
Q9J509,4465,false,3,3,remaining_order_4395_mod_4
Q9J523,4466,false,0,0,remaining_order_4396_mod_4
Q9J579,4467,false,1,1,remaining_order_4397_mod_4
Q9J584,4468,false,2,2,remaining_order_4398_mod_4
Q9J592,4469,false,3,3,remaining_order_4399_mod_4
Q9J5B1,4470,false,0,0,remaining_order_4400_mod_4
Q9J5C7,4471,false,1,1,remaining_order_4401_mod_4
Q9J5G5,4472,false,2,2,remaining_order_4402_mod_4
Q9J5H2,4473,false,3,3,remaining_order_4403_mod_4
Q9JFA8,4474,false,0,0,remaining_order_4404_mod_4
Q9JFB7,4475,false,1,1,remaining_order_4405_mod_4
Q9JFC3,4476,false,2,2,remaining_order_4406_mod_4
